name,ward,lat,lng,zone,railway_stations,metro_stations,bus_stops,colleges,schools,offices,malls,hospitals,parking_lots,tourist_spots,existing_cafes,existing_restaurants,existing_gyms,restaurant_count,restaurant_rating,restaurant_viability,restaurant_viability_norm,cafe_count,cafe_rating,cafe_viability,cafe_viability_norm,gym_count,gym_rating,gym_viability,gym_viability_norm,pharmacy_count,pharmacy_rating,pharmacy_viability,pharmacy_viability_norm,beauty_salon_count,beauty_salon_rating,beauty_salon_viability,beauty_salon_viability_norm,store_count,store_rating,store_viability,store_viability_norm,school_count,school_rating,school_viability,school_viability_norm,lodging_count,lodging_rating,lodging_viability,lodging_viability_norm,bar_count,bar_rating,bar_viability,bar_viability_norm,night_club_count,night_club_rating,night_club_viability,night_club_viability_norm,reckoner_rate,est_rent_sqft,rent_tier,overall_footfall,morning_footfall,afternoon_footfall,evening_footfall,office_hr_footfall,weekend_footfall,norm_offices,norm_colleges,norm_rent,cluster_id,cluster_label,restaurant_saturation,cafe_saturation,gym_saturation,pharmacy_saturation,beauty_salon_saturation,store_saturation,school_saturation,lodging_saturation,bar_saturation,night_club_saturation,footfall_multiplier,restaurant_est_revenue_lakhs,restaurant_est_rent_cost_lakhs,restaurant_est_roi_pct,cafe_est_revenue_lakhs,cafe_est_rent_cost_lakhs,cafe_est_roi_pct,gym_est_revenue_lakhs,gym_est_rent_cost_lakhs,gym_est_roi_pct,pharmacy_est_revenue_lakhs,pharmacy_est_rent_cost_lakhs,pharmacy_est_roi_pct,beauty_salon_est_revenue_lakhs,beauty_salon_est_rent_cost_lakhs,beauty_salon_est_roi_pct,store_est_revenue_lakhs,store_est_rent_cost_lakhs,store_est_roi_pct,school_est_revenue_lakhs,school_est_rent_cost_lakhs,school_est_roi_pct,lodging_est_revenue_lakhs,lodging_est_rent_cost_lakhs,lodging_est_roi_pct,bar_est_revenue_lakhs,bar_est_rent_cost_lakhs,bar_est_roi_pct,night_club_est_revenue_lakhs,night_club_est_rent_cost_lakhs,night_club_est_roi_pct,restaurant_market_tag,cafe_market_tag,gym_market_tag,pharmacy_market_tag,beauty_salon_market_tag,store_market_tag,school_market_tag,lodging_market_tag,bar_market_tag,night_club_market_tag,restaurant_expected_count,restaurant_gap,cafe_expected_count,cafe_gap,gym_expected_count,gym_gap,pharmacy_expected_count,pharmacy_gap,beauty_salon_expected_count,beauty_salon_gap,store_expected_count,store_gap,school_expected_count,school_gap,lodging_expected_count,lodging_gap,bar_expected_count,bar_gap,night_club_expected_count,night_club_gap
Colaba,A,18.9067,72.8147,South Mumbai,2,6,6,8,12,14,4,6,0,22,0,0,2,37,4.0,538.36,47.4,15,4.4,182.99,38.6,1,4.6,3.19,1.6,27,4.0,359.88,58.1,19,4.4,250.44,75.6,63,3.6,943.23,54.3,4,4.8,30.9,20.9,12,4.0,123.12,63.0,12,4.4,135.43,93.6,0,0.0,0.0,0.0,65000,325.0,luxury,13.7,13.4,14.4,12.0,11.6,14.4,14.893617021276595,22.22222222222222,86.66666666666667,0,Corporate Hub,2.517,1.02,0.068,1.837,1.293,4.286,0.272,0.816,0.816,0.0,0.7199036918138042,2.05,2.6,-21.2,0.97,1.62,-40.1,0.03,4.88,-99.4,1.67,0.98,70.4,1.09,1.3,-16.2,2.15,1.95,10.3,1.2,6.5,-81.5,3.17,9.75,-67.5,3.37,2.28,47.8,0.0,3.9,-100.0,Growing,Growing,Low Demand,Growing,Growing,Growing,Growing,Growing,Growing,Low Demand,31.9,-5.1,15.9,0.9,7.9,6.9,30.4,3.4,15.1,-3.9,48.6,-14.4,6.0,2.0,6.8,-5.2,8.5,-3.5,3.1,3.1
Cuffe Parade,A,18.9138,72.8194,South Mumbai,2,6,10,2,6,22,6,6,2,168,2,8,2,49,3.7,709.25,62.5,24,4.2,324.46,68.5,9,3.8,78.75,40.3,16,4.5,203.99,32.9,12,4.0,123.12,37.2,88,4.0,1580.0,90.9,9,4.4,91.18,61.7,3,4.3,17.88,9.1,4,4.2,27.04,18.7,0,0.0,0.0,0.0,68000,340.0,luxury,18.9,14.3,28.3,31.8,17.5,29.9,23.404255319148938,5.555555555555555,90.66666666666666,0,Corporate Hub,2.462,1.206,0.452,0.804,0.603,4.422,0.452,0.151,0.201,0.0,0.8033707865168539,3.01,2.72,10.7,1.93,1.7,13.5,0.81,5.1,-84.1,1.06,1.02,3.9,0.6,1.36,-55.9,4.02,2.04,97.1,3.97,6.8,-41.6,0.51,10.2,-95.0,0.75,2.38,-68.5,0.0,4.08,-100.0,Growing,Growing,Growing,Blue Ocean,Growing,Growing,Growing,Low Demand,Low Demand,Low Demand,41.0,-8.0,16.9,-7.1,6.2,-2.8,21.2,5.2,16.2,4.2,55.5,-32.5,7.2,-1.8,9.2,6.2,9.1,5.1,2.4,2.4
Navy Nagar,A,18.9,72.8136,South Mumbai,0,0,4,6,6,10,4,4,2,16,0,0,0,13,4.8,164.68,14.5,16,4.5,203.99,43.0,7,3.8,55.31,28.3,34,3.9,471.44,76.1,16,4.3,194.93,58.9,69,3.8,1113.96,64.1,6,4.2,49.04,33.2,3,4.6,19.13,9.8,10,3.8,91.12,63.0,4,4.0,25.75,83.3,58000,290.0,luxury,8.6,8.4,12.1,9.9,6.9,12.7,10.638297872340424,16.666666666666664,77.33333333333333,0,Corporate Hub,1.354,1.667,0.729,3.542,1.667,7.188,0.625,0.312,1.042,0.417,0.6380417335473515,0.56,2.32,-75.9,0.96,1.45,-33.8,0.45,4.35,-89.7,1.94,0.87,123.0,0.75,1.16,-35.3,2.25,1.74,29.3,1.69,5.8,-70.9,0.44,8.7,-94.9,2.01,2.03,-1.0,3.45,3.48,-0.9,Low Demand,Growing,Growing,Growing,Growing,Growing,Growing,Low Demand,Growing,Growing,33.1,20.1,14.6,-1.4,5.5,-1.5,28.0,-6.0,12.8,-3.2,42.1,-26.9,5.0,-1.0,10.6,7.6,7.4,-2.6,1.9,-2.1
Churchgate,A,18.9322,72.8264,South Mumbai,8,12,42,24,20,94,8,14,6,286,16,22,2,43,3.8,618.34,54.5,6,3.8,44.37,9.4,3,4.3,17.88,9.1,28,4.1,386.57,62.4,18,3.8,201.4,60.8,31,3.7,397.52,22.9,12,4.4,135.43,91.7,12,4.1,126.2,64.6,4,3.9,25.11,17.4,3,4.5,18.71,60.6,70000,350.0,luxury,55.2,66.2,68.6,63.2,71.3,58.1,100.0,66.66666666666666,93.33333333333331,2,Corporate Hub,0.765,0.107,0.053,0.498,0.32,0.552,0.214,0.214,0.071,0.053,1.3860353130016052,4.53,2.8,61.8,0.46,1.75,-73.7,0.32,5.25,-93.9,3.46,1.05,229.5,1.69,1.4,20.7,1.75,2.1,-16.7,10.17,7.0,45.3,6.27,10.5,-40.3,1.21,2.45,-50.6,5.46,4.2,30.0,Blue Ocean,Low Demand,Low Demand,Blue Ocean,Blue Ocean,Low Demand,Growing,Growing,Low Demand,Growing,24.5,-18.5,15.0,9.0,7.8,4.8,27.9,-0.1,13.5,-4.5,57.0,26.0,6.6,-5.4,5.8,-6.2,6.4,2.4,1.8,-1.2
Fort,B,18.934,72.8354,South Mumbai,10,10,40,24,18,68,6,20,8,292,18,52,0,16,3.9,176.79,15.6,18,4.0,212.0,44.7,6,3.7,43.2,22.1,25,4.3,350.25,56.6,4,4.2,27.04,8.2,36,4.2,545.97,31.4,1,4.6,3.19,2.2,12,3.6,110.81,56.7,7,4.0,58.22,40.2,1,4.4,3.05,9.9,62000,310.0,luxury,46.8,54.7,57.6,55.2,56.6,54.9,72.3404255319149,66.66666666666666,82.66666666666667,2,Corporate Hub,0.335,0.377,0.126,0.523,0.084,0.753,0.021,0.251,0.146,0.021,1.2512038523274478,1.17,2.48,-52.8,1.96,1.55,26.5,0.69,4.65,-85.2,2.83,0.93,204.3,0.21,1.24,-83.1,2.16,1.86,16.1,0.22,6.2,-96.5,4.97,9.3,-46.6,2.51,2.17,15.7,0.81,3.72,-78.2,Low Demand,Blue Ocean,Blue Ocean,Blue Ocean,Low Demand,Blue Ocean,Low Demand,Growing,Growing,Growing,29.9,13.9,14.9,-3.1,7.4,1.4,26.0,1.0,15.1,11.1,57.9,21.9,8.0,7.0,4.9,-7.1,6.1,-0.9,2.0,1.0
Ballard Estate,B,18.9387,72.8406,South Mumbai,6,8,18,14,6,26,6,14,2,240,2,16,0,48,4.0,747.23,65.8,10,3.7,88.72,18.7,3,4.7,19.55,10.0,30,4.5,463.59,74.9,15,3.6,149.72,45.2,87,4.1,1597.07,91.9,10,4.7,112.7,76.3,4,4.6,29.61,15.1,9,4.6,95.33,65.9,4,3.6,23.18,75.0,55000,275.0,premium,26.9,25.6,37.9,40.5,24.2,44.0,27.659574468085108,38.88888888888889,73.33333333333333,0,Corporate Hub,1.72,0.358,0.108,1.075,0.538,3.118,0.358,0.143,0.323,0.143,0.9317817014446228,3.68,2.2,67.3,0.61,1.38,-55.8,0.23,4.12,-94.4,2.79,0.82,240.2,0.84,1.1,-23.6,4.71,1.65,185.5,5.69,5.5,3.5,0.98,8.25,-88.1,3.07,1.92,59.9,4.54,3.3,37.6,Growing,Low Demand,Low Demand,Growing,Blue Ocean,Growing,Growing,Blue Ocean,Growing,Growing,34.0,-14.0,21.4,11.4,6.8,3.8,19.4,-10.6,13.8,-1.2,58.2,-28.8,6.8,-3.2,7.1,3.1,6.2,-2.8,2.0,-2.0
Mandvi,B,18.949,72.8376,South Mumbai,4,0,22,2,10,14,10,20,2,158,0,10,0,7,3.6,52.4,4.6,22,4.6,317.31,67.0,7,4.1,59.68,30.5,16,3.8,172.26,27.8,7,3.6,52.4,15.8,48,3.8,709.87,40.8,12,4.7,144.66,97.9,9,3.8,78.75,40.3,6,4.1,47.87,33.1,3,4.4,18.3,59.2,40000,200.0,premium,18.9,12.4,31.2,34.9,17.1,36.6,14.893617021276595,5.555555555555555,53.333333333333336,1,Mixed-Use Locality,0.352,1.106,0.352,0.804,0.352,2.412,0.603,0.452,0.302,0.151,0.8033707865168539,0.22,1.6,-86.2,1.88,1.0,88.0,0.61,3.0,-79.7,0.89,0.6,48.3,0.25,0.8,-68.8,1.8,1.2,50.0,6.29,4.0,57.2,2.27,6.0,-62.2,1.33,1.4,-5.0,3.09,2.4,28.7,Low Demand,Growing,Growing,Low Demand,Low Demand,Growing,Growing,Growing,Growing,Growing,30.6,23.6,17.9,-4.1,7.8,0.8,18.6,2.6,16.6,9.6,53.9,5.9,5.5,-6.5,8.8,-0.2,5.9,-0.1,1.6,-1.4
Masjid Bunder,B,18.9512,72.8381,South Mumbai,2,0,20,2,6,6,8,20,0,138,2,8,0,57,4.0,925.78,81.6,7,4.7,68.41,14.4,6,4.7,54.87,28.1,16,4.7,213.06,34.4,16,4.0,181.33,54.8,27,3.6,323.89,18.6,12,3.6,110.81,75.0,7,4.3,62.59,32.0,12,3.7,113.88,78.7,0,0.0,0.0,0.0,38000,190.0,premium,13.4,8.1,24.2,27.9,11.6,30.7,6.382978723404255,5.555555555555555,50.66666666666667,1,Mixed-Use Locality,3.958,0.486,0.417,1.111,1.111,1.875,0.833,0.486,0.833,0.0,0.7150882825040128,3.5,1.52,130.3,0.36,0.95,-62.1,0.5,2.85,-82.5,0.98,0.57,71.9,0.78,0.76,2.6,0.73,1.14,-36.0,4.29,3.8,12.9,1.6,5.7,-71.9,2.81,1.33,111.3,0.0,2.28,-100.0,Growing,Low Demand,Growing,Growing,Growing,Low Demand,Growing,Growing,Growing,Low Demand,20.5,-36.5,16.8,9.8,7.1,1.1,19.8,3.8,13.8,-2.2,47.1,20.1,7.4,-4.6,6.0,-1.0,5.1,-6.9,2.4,2.4
Crawford Market,B,18.9469,72.8332,South Mumbai,8,8,42,10,8,14,10,28,4,190,0,8,0,10,3.6,86.32,7.6,25,4.4,358.39,75.6,7,3.7,53.86,27.6,33,4.7,546.94,88.3,18,4.6,243.8,73.6,34,4.2,507.7,29.2,7,4.2,61.14,41.4,4,3.6,23.18,11.9,3,4.7,19.55,13.5,4,4.1,26.39,85.4,45000,225.0,premium,24.2,23.5,35.6,39.1,27.8,44.3,14.893617021276595,27.77777777777778,60.0,0,Corporate Hub,0.397,0.992,0.278,1.31,0.714,1.349,0.278,0.159,0.119,0.159,0.8884430176565008,0.41,1.8,-77.2,2.35,1.12,109.8,0.61,3.38,-82.0,3.14,0.68,361.8,1.31,0.9,45.6,1.43,1.35,5.9,2.94,4.5,-34.7,0.74,6.75,-89.0,0.6,1.58,-62.0,4.93,2.7,82.6,Low Demand,Growing,Growing,Growing,Growing,Low Demand,Growing,Low Demand,Low Demand,Growing,35.1,25.1,17.1,-7.9,9.5,2.5,20.6,-12.4,13.1,-4.9,65.1,31.1,8.5,1.5,7.6,3.6,9.1,6.1,2.1,-1.9
Marine Lines,C,18.9447,72.8231,South Mumbai,8,8,8,14,8,8,10,20,2,216,0,6,2,13,3.9,133.8,11.8,16,4.2,190.39,40.2,6,4.4,51.37,26.3,33,4.3,500.39,80.8,9,4.7,97.4,29.4,60,3.9,961.94,55.3,6,4.4,51.37,34.8,3,4.6,19.13,9.8,12,4.1,126.2,87.2,0,0.0,0.0,0.0,60000,300.0,luxury,24.5,16.4,36.6,40.5,11.0,49.2,8.51063829787234,38.88888888888889,80.0,0,Corporate Hub,0.51,0.627,0.235,1.294,0.353,2.353,0.235,0.118,0.471,0.0,0.8932584269662922,0.63,2.4,-73.8,1.26,1.5,-16.0,0.59,4.5,-86.9,2.89,0.9,221.1,0.53,1.2,-55.8,2.72,1.8,51.1,2.49,6.0,-58.5,0.61,9.0,-93.2,3.89,2.1,85.2,0.0,3.6,-100.0,Low Demand,Growing,Blue Ocean,Growing,Blue Ocean,Growing,Growing,Low Demand,Growing,Low Demand,34.1,21.1,20.9,4.9,5.9,-0.1,20.9,-12.1,14.2,5.2,66.1,6.1,6.4,0.4,7.1,4.1,4.6,-7.4,2.4,2.4
