name,ward,lat,lng,zone,restaurant_count,restaurant_rating,restaurant_viability,restaurant_viability_norm,cafe_count,cafe_rating,cafe_viability,cafe_viability_norm,gym_count,gym_rating,gym_viability,gym_viability_norm,pharmacy_count,pharmacy_rating,pharmacy_viability,pharmacy_viability_norm,beauty_salon_count,beauty_salon_rating,beauty_salon_viability,beauty_salon_viability_norm,store_count,store_rating,store_viability,store_viability_norm,school_count,school_rating,school_viability,school_viability_norm,lodging_count,lodging_rating,lodging_viability,lodging_viability_norm,bar_count,bar_rating,bar_viability,bar_viability_norm,night_club_count,night_club_rating,night_club_viability,night_club_viability_norm
Colaba,A,18.9067,72.8147,South Mumbai,37,4.0,538.36,47.4,15,4.4,182.99,38.6,1,4.6,3.19,1.6,27,4.0,359.88,58.1,19,4.4,250.44,75.6,63,3.6,943.23,54.3,4,4.8,30.9,20.9,12,4.0,123.12,63.0,12,4.4,135.43,93.6,0,0.0,0.0,0.0
Cuffe Parade,A,18.9138,72.8194,South Mumbai,49,3.7,709.25,62.5,24,4.2,324.46,68.5,9,3.8,78.75,40.3,16,4.5,203.99,32.9,12,4.0,123.12,37.2,88,4.0,1580.0,90.9,9,4.4,91.18,61.7,3,4.3,17.88,9.1,4,4.2,27.04,18.7,0,0.0,0.0,0.0
Navy Nagar,A,18.9,72.8136,South Mumbai,13,4.8,164.68,14.5,16,4.5,203.99,43.0,7,3.8,55.31,28.3,34,3.9,471.44,76.1,16,4.3,194.93,58.9,69,3.8,1113.96,64.1,6,4.2,49.04,33.2,3,4.6,19.13,9.8,10,3.8,91.12,63.0,4,4.0,25.75,83.3
Churchgate,A,18.9322,72.8264,South Mumbai,43,3.8,618.34,54.5,6,3.8,44.37,9.4,3,4.3,17.88,9.1,28,4.1,386.57,62.4,18,3.8,201.4,60.8,31,3.7,397.52,22.9,12,4.4,135.43,91.7,12,4.1,126.2,64.6,4,3.9,25.11,17.4,3,4.5,18.71,60.6
Fort,B,18.934,72.8354,South Mumbai,16,3.9,176.79,15.6,18,4.0,212.0,44.7,6,3.7,43.2,22.1,25,4.3,350.25,56.6,4,4.2,27.04,8.2,36,4.2,545.97,31.4,1,4.6,3.19,2.2,12,3.6,110.81,56.7,7,4.0,58.22,40.2,1,4.4,3.05,9.9
Ballard Estate,B,18.9387,72.8406,South Mumbai,48,4.0,747.23,65.8,10,3.7,88.72,18.7,3,4.7,19.55,10.0,30,4.5,463.59,74.9,15,3.6,149.72,45.2,87,4.1,1597.07,91.9,10,4.7,112.7,76.3,4,4.6,29.61,15.1,9,4.6,95.33,65.9,4,3.6,23.18,75.0
Mandvi,B,18.949,72.8376,South Mumbai,7,3.6,52.4,4.6,22,4.6,317.31,67.0,7,4.1,59.68,30.5,16,3.8,172.26,27.8,7,3.6,52.4,15.8,48,3.8,709.87,40.8,12,4.7,144.66,97.9,9,3.8,78.75,40.3,6,4.1,47.87,33.1,3,4.4,18.3,59.2
Masjid Bunder,B,18.9512,72.8381,South Mumbai,57,4.0,925.78,81.6,7,4.7,68.41,14.4,6,4.7,54.87,28.1,16,4.7,213.06,34.4,16,4.0,181.33,54.8,27,3.6,323.89,18.6,12,3.6,110.81,75.0,7,4.3,62.59,32.0,12,3.7,113.88,78.7,0,0.0,0.0,0.0
Crawford Market,B,18.9469,72.8332,South Mumbai,10,3.6,86.32,7.6,25,4.4,358.39,75.6,7,3.7,53.86,27.6,33,4.7,546.94,88.3,18,4.6,243.8,73.6,34,4.2,507.7,29.2,7,4.2,61.14,41.4,4,3.6,23.18,11.9,3,4.7,19.55,13.5,4,4.1,26.39,85.4
Marine Lines,C,18.9447,72.8231,South Mumbai,13,3.9,133.8,11.8,16,4.2,190.39,40.2,6,4.4,51.37,26.3,33,4.3,500.39,80.8,9,4.7,97.4,29.4,60,3.9,961.94,55.3,6,4.4,51.37,34.8,3,4.6,19.13,9.8,12,4.1,126.2,87.2,0,0.0,0.0,0.0
