name,ward,lat,lng,zone
Grid_1,G,18.89,72.77,South Mumbai
Grid_2,G,18.89,72.79,South Mumbai
Grid_3,G,18.89,72.81,South Mumbai
Grid_4,G,18.89,72.83,South Mumbai
Grid_5,G,18.89,72.85,South Mumbai
Grid_6,G,18.89,72.87,South Mumbai
Grid_7,G,18.89,72.89,South Mumbai
Grid_8,G,18.89,72.91,South Mumbai
Grid_9,G,18.89,72.93,South Mumbai
Grid_10,G,18.89,72.95,South Mumbai
Grid_11,G,18.89,72.97,Navi Mumbai
Grid_12,G,18.89,72.99,Navi Mumbai
Grid_13,G,18.89,73.01,Navi Mumbai
Grid_14,G,18.89,73.03,Navi Mumbai
Grid_15,G,18.89,73.05,Navi Mumbai
Grid_16,G,18.89,73.07,Navi Mumbai
Grid_17,G,18.89,73.09,Navi Mumbai
Grid_18,G,18.89,73.11,Navi Mumbai
Grid_19,G,18.89,73.13,Navi Mumbai
Grid_20,G,18.89,73.15,Navi Mumbai
Grid_21,G,18.90708,72.77,South Mumbai
Grid_22,G,18.90708,72.79,South Mumbai
Grid_23,G,18.90708,72.81,South Mumbai
Grid_24,G,18.90708,72.83,South Mumbai
Grid_25,G,18.90708,72.85,South Mumbai
Grid_26,G,18.90708,72.87,South Mumbai
Grid_27,G,18.90708,72.89,South Mumbai
Grid_28,G,18.90708,72.91,South Mumbai
Grid_29,G,18.90708,72.93,South Mumbai
Grid_30,G,18.90708,72.95,South Mumbai
Grid_31,G,18.90708,72.97,Navi Mumbai
Grid_32,G,18.90708,72.99,Navi Mumbai
Grid_33,G,18.90708,73.01,Navi Mumbai
Grid_34,G,18.90708,73.03,Navi Mumbai
Grid_35,G,18.90708,73.05,Navi Mumbai
Grid_36,G,18.90708,73.07,Navi Mumbai
Grid_37,G,18.90708,73.09,Navi Mumbai
Grid_38,G,18.90708,73.11,Navi Mumbai
Grid_39,G,18.90708,73.13,Navi Mumbai
Grid_40,G,18.90708,73.15,Navi Mumbai
Grid_41,G,18.92417,72.77,South Mumbai
Grid_42,G,18.92417,72.79,South Mumbai
Grid_43,G,18.92417,72.81,South Mumbai
Grid_44,G,18.92417,72.83,South Mumbai
Grid_45,G,18.92417,72.85,South Mumbai
Grid_46,G,18.92417,72.87,South Mumbai
Grid_47,G,18.92417,72.89,South Mumbai
Grid_48,G,18.92417,72.91,South Mumbai
Grid_49,G,18.92417,72.93,South Mumbai
Grid_50,G,18.92417,72.95,South Mumbai
Grid_51,G,18.92417,72.97,Navi Mumbai
Grid_52,G,18.92417,72.99,Navi Mumbai
Grid_53,G,18.92417,73.01,Navi Mumbai
Grid_54,G,18.92417,73.03,Navi Mumbai
Grid_55,G,18.92417,73.05,Navi Mumbai
Grid_56,G,18.92417,73.07,Navi Mumbai
Grid_57,G,18.92417,73.09,Navi Mumbai
