name,ward,lat,lng,zone,railway_stations,metro_stations,bus_stops,colleges,schools,offices,malls,hospitals,parking_lots,tourist_spots,existing_cafes,existing_restaurants,existing_gyms
Colaba,A,18.9067,72.8147,South Mumbai,2,6,6,8,12,14,4,6,0,22,0,0,2
Cuffe Parade,A,18.9138,72.8194,South Mumbai,2,6,10,2,6,22,6,6,2,168,2,8,2
Navy Nagar,A,18.9,72.8136,South Mumbai,0,0,4,6,6,10,4,4,2,16,0,0,0
Churchgate,A,18.9322,72.8264,South Mumbai,8,12,42,24,20,94,8,14,6,286,16,22,2
Fort,B,18.934,72.8354,South Mumbai,10,10,40,24,18,68,6,20,8,292,18,52,0
Ballard Estate,B,18.9387,72.8406,South Mumbai,6,8,18,14,6,26,6,14,2,240,2,16,0
Mandvi,B,18.949,72.8376,South Mumbai,4,0,22,2,10,14,10,20,2,158,0,10,0
Masjid Bunder,B,18.9512,72.8381,South Mumbai,2,0,20,2,6,6,8,20,0,138,2,8,0
Crawford Market,B,18.9469,72.8332,South Mumbai,8,8,42,10,8,14,10,28,4,190,0,8,0
Marine Lines,C,18.9447,72.8231,South Mumbai,8,8,8,14,8,8,10,20,2,216,0,6,2
Charni Road,C,18.9511,72.819,South Mumbai,6,6,8,4,10,8,10,40,2,130,2,8,2
Grant Road,C,18.964,72.8179,South Mumbai,8,8,28,22,52,4,10,60,0,104,0,10,2
Girgaon,C,18.9582,72.8178,South Mumbai,8,8,16,14,42,12,10,72,2,116,4,30,2
Malabar Hill,D,18.963,72.8026,South Mumbai,0,0,14,2,18,4,4,38,2,64,0,2,2
Pedder Road,D,18.9714,72.8089,South Mumbai,0,0,2,18,24,6,4,46,2,74,0,4,2
Breach Candy,D,18.9697,72.8067,South Mumbai,0,0,2,14,26,4,4,42,2,74,2,4,2
Tardeo,D,18.9745,72.8136,South Mumbai,4,6,2,18,28,8,6,34,2,76,0,12,4
Bhendi Bazaar,E,18.9527,72.8352,South Mumbai,2,0,18,2,8,10,8,26,2,138,2,6,0
Nagpada,E,18.9578,72.8305,South Mumbai,2,0,24,6,12,6,8,40,0,126,0,26,0
Dongri,E,18.9553,72.8399,South Mumbai,4,0,14,0,4,6,8,20,2,92,2,6,0
Mazgaon,F/N,18.9607,72.8474,South Mumbai,4,0,12,0,2,0,6,2,0,62,0,0,0
Reay Road,F/N,18.9683,72.8514,South Mumbai,2,0,0,0,0,0,0,2,0,22,0,0,0
Byculla,F/S,18.9716,72.8374,South Mumbai,6,0,16,4,22,4,6,28,0,96,0,0,0
